molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
581814,109.0,nM,Kd,CHEMBL1751,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,109.0,,,,
1780717,4.2,nM,Kd,CHEMBL3314001,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(CCS(=O)(=O)CC4)C3)nc2CC2CCCCC2)c2ccccc12,4.2,,,,
1780718,0.05,nM,Kd,CHEMBL3314002,CCC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1C,0.05,,,,
1786551,18.0,nM,Kd,CHEMBL3325741,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(Cl)c(Cc3ccccc3)c(Cl)c2c1,18.0,,,,
1786552,0.83,nM,Kd,CHEMBL3325742,OC(c1ccncc1)(c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1)c1cncs1,0.83,,,,
1786553,2.84,nM,Kd,CHEMBL3325743,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)c2c1,0.71,7.1,,,
1822614,19.016000000000002,nM,Kd,CHEMBL3358455,COc1nc2ccc(C(O)(c3sc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,0.024,57.0,,,
1832341,1600.0,nM,Kd,CHEMBL3402133,CC(CCO)N(C)C(=O)CCCN1c2ccccc2N(Cc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)S1(=O)=O,1600.0,,,,
1832342,480.0,nM,Kd,CHEMBL3402134,COc1cccc(CN(C)C(=O)CCCN2c3ccccc3N(Cc3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)S2(=O)=O)c1,480.0,,,,
1832343,2400.0,nM,Kd,CHEMBL3402135,Cc1ccccc1CN(C)C(=O)CCCN1c2ccccc2N(Cc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)S1(=O)=O,2400.0,,,,
1832344,10000.0,nM,Kd,CHEMBL3402136,O=C(CCCN1c2ccccc2N(Cc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)S1(=O)=O)N1CCCC1,10000.0,,,,
1832345,1600.0,nM,Kd,CHEMBL3402137,CC(C)C(=O)N1CCC(CN2c3ccccc3N(Cc3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)S2(=O)=O)CC1,1600.0,,,,
1832346,450.0,nM,Kd,CHEMBL3402138,CCC(=O)N1CCCC(CN2c3ccccc3N(Cc3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)S2(=O)=O)C1,450.0,,,,
1832347,1500.0,nM,Kd,CHEMBL3402139,CCC(CC)c1ccc(CN2c3ccccc3N(CCCC(=O)N3CCCC3)S2(=O)=O)cc1,1500.0,,,,
1832348,4600.0,nM,Kd,CHEMBL3402140,CC(C)c1ccc(CN2c3ccccc3N(CCCC(=O)N3CCCC3)S2(=O)=O)cc1,4600.0,,,,
1832349,10000.0,nM,Kd,CHEMBL3402141,O=C(CCCN1c2ccccc2N(Cc2ccc(C(O)C(F)(F)F)cc2)S1(=O)=O)N1CCCC1,10000.0,,,,
1832350,2700.0,nM,Kd,CHEMBL3402142,O=C(CCCN1c2ccccc2N(Cc2ccccc2)S1(=O)=O)N1CCCC1,2700.0,,,,
2099522,710.0,nM,Kd,CHEMBL3890151,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1N(C(=O)OC(C)(C)C)c1ccccc1,710.0,,,,
2099651,49.0,nM,Kd,CHEMBL3890280,COc1nc2ccc(C(O)(c3ccc(F)cc3)c3cn(C)cn3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,49.0,,,,
2100509,2.7,nM,Kd,CHEMBL3891138,CCOc1nc2ccc(C(O)(c3ccc(OC)nc3)c3cncs3)cc2c(Cl)c1Cc1ccccc1,2.7,,,,
2101638,0.83,nM,Kd,CHEMBL3892267,OC(c1cccnc1)(c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1)c1cncs1,0.83,,,,
2102032,4.3,nM,Kd,CHEMBL3892661,Cn1cncc1C(O)(c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1)c1cncs1,4.3,,,,
2102649,890.0,nM,Kd,CHEMBL3893278,Cn1cncc1C(O)(c1ccc2nc(Cl)c(-c3ccccc3)c(Cl)c2c1)C1CC1,890.0,,,,
2103435,6.1,nM,Kd,CHEMBL3894064,COc1ccc(C(O)(c2ccc3nc(Cl)c(Cc4ccc(-n5cccn5)cc4)c(Cl)c3c2)c2cncn2C)cn1,6.1,,,,
2104150,0.44,nM,Kd,CHEMBL3894779,CCc1nc2ccc(C(O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,0.32,0.44,0.56,,
2105558,431.5,nM,Kd,CHEMBL3896187,COc1nc2ccc(C(O)(c3ccc(F)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(S(C)(=O)=O)cc1,23.0,840.0,,,
2105768,29.0,nM,Kd,CHEMBL3896397,COc1ccc(C(O)(c2cccnc2)c2ccc3nc(OC)c(Cc4ccc(-n5cccn5)cc4)c(Cl)c3c2)cc1OC,29.0,,,,
2105950,11.375,nM,Kd,CHEMBL3896579,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,1.5,9.5,33.0,,
2106566,14.066666666666668,nM,Kd,CHEMBL3897195,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(N3CCC3)c(Oc3ccc(C#N)cc3)c(Cl)c2c1,3.3,6.9,32.0,,
2107163,31.0,nM,Kd,CHEMBL3897792,CN(C)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,31.0,,,,
2107599,134.33333333333334,nM,Kd,CHEMBL3898228,COc1nc2ccc(C(C)(O)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,36.0,77.0,290.0,,
2107903,31.0,nM,Kd,CHEMBL3898532,COc1ccc(Cc2c(OC)nc3ccc(C(O)(c4ccc(Cl)cc4)c4cncn4C)cc3c2Cl)cc1,31.0,,,,
2108236,26.0,nM,Kd,CHEMBL3898865,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(C#N)c(Oc3ccc(F)cc3)c(Cl)c2c1,26.0,,,,
2108243,11.0,nM,Kd,CHEMBL3898872,OC(c1cccnc1)(c1cccc(Cl)c1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,11.0,,,,
2109510,49.95,nM,Kd,CHEMBL3900139,N#Cc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cnc[nH]3)cc2c(C#N)c1Oc1ccccc1,2.9,97.0,,,
2109578,5.3,nM,Kd,CHEMBL3900207,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(N3CCC3)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1,1.4,2.5,12.0,,
2110783,38.833333333333336,nM,Kd,CHEMBL3901412,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)nc1,6.5,12.0,98.0,,
2111001,43.0,nM,Kd,CHEMBL3901630,CS(=O)(=O)c1ccc(Cc2c(Cl)nc3ccc(C(O)(c4cccnc4)c4cccc(Cl)c4)cc3c2Cl)cc1,43.0,,,,
2111352,201.66666666666666,nM,Kd,CHEMBL3901981,CCOc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,41.0,84.0,480.0,,
